,Age,Weight_kg,BMI,Daily_Caloric_Intake,Protein_Intake,Fat_Intake,Carbohydrate_Intake,Water_Intake,Metabolic_Rate,Heart_Rate,Respiratory_Rate,Feeding_Frequency
Age,1.0,0.004063732528255194,-0.0007831850597444402,0.0027061672178160475,0.004663924082912757,-0.0013984317550831207,-0.003303024548756728,-0.008286178540875454,-0.0003286814787894826,-0.0013492237690598727,-0.004274324835713518,0.0017854062481238134
Weight_kg,0.004063732528255194,1.0,0.5298058479202338,-0.00716518969677856,0.0030891310703346463,-0.009085042344300114,0.0007005165240772851,0.005167701507623507,0.005127010074482859,0.007774129969535846,0.003017389534594887,-0.0046438641354899085
BMI,-0.0007831850597444402,0.5298058479202338,1.0,-0.0031807157017286363,-0.00016284444353342848,-0.004791201134176046,-0.009674826286564773,0.004276059785426048,-0.003219808824380539,0.00019854914460307288,-0.00238725139318262,-0.0006362077679337326
Daily_Caloric_Intake,0.0027061672178160475,-0.00716518969677856,-0.0031807157017286363,1.0,0.006194532474133711,-0.00010778233221244334,-0.004384976179626145,0.006560568625868917,-0.005885233232604634,-0.0033637035412283868,0.0010563408356786608,-0.014527841137148625
Protein_Intake,0.004663924082912757,0.0030891310703346463,-0.00016284444353342848,0.006194532474133711,1.0,-0.003120892259491729,-0.0009735730111361526,0.0072677587791687304,0.004223048987016625,-0.011010832237105691,0.00289409433765932,0.0019247858031169603
Fat_Intake,-0.0013984317550831207,-0.009085042344300114,-0.004791201134176046,-0.00010778233221244334,-0.003120892259491729,1.0,0.002521365780261494,-0.004766156012509887,-0.005016081079416311,-0.004912716847673646,-0.0024861145064478955,0.005868850880601338
Carbohydrate_Intake,-0.003303024548756728,0.0007005165240772851,-0.009674826286564773,-0.004384976179626145,-0.0009735730111361526,0.002521365780261494,1.0,0.004406394181497367,0.0006888452013586257,-0.007186864647954518,0.004315120140231312,-0.0041955860086243385
Water_Intake,-0.008286178540875454,0.005167701507623507,0.004276059785426048,0.006560568625868917,0.0072677587791687304,-0.004766156012509887,0.004406394181497367,1.0,0.002165610304541102,0.004118371988618414,0.001460579194830043,0.0008703922838221059
Metabolic_Rate,-0.0003286814787894826,0.005127010074482859,-0.003219808824380539,-0.005885233232604634,0.004223048987016625,-0.005016081079416311,0.0006888452013586257,0.002165610304541102,1.0,-6.0608060378483395e-05,-0.0026581940196175376,0.0011348016985192415
Heart_Rate,-0.0013492237690598727,0.007774129969535846,0.00019854914460307288,-0.0033637035412283868,-0.011010832237105691,-0.004912716847673646,-0.007186864647954518,0.004118371988618414,-6.0608060378483395e-05,1.0,-0.0049582089630645166,-0.004253585413698927
Respiratory_Rate,-0.004274324835713518,0.003017389534594887,-0.00238725139318262,0.0010563408356786608,0.00289409433765932,-0.0024861145064478955,0.004315120140231312,0.001460579194830043,-0.0026581940196175376,-0.0049582089630645166,1.0,0.0029514502873583858
Feeding_Frequency,0.0017854062481238134,-0.0046438641354899085,-0.0006362077679337326,-0.014527841137148625,0.0019247858031169603,0.005868850880601338,-0.0041955860086243385,0.0008703922838221059,0.0011348016985192415,-0.004253585413698927,0.0029514502873583858,1.0
